con_percent_scaled,temp_ct,T_c,k,species_ab
0.6657263971785132,2,0,8.62e-5,R.canadum
0.9989473684210526,0,0,8.62e-5,R.canadum
0.8864270211611502,-2,0,8.62e-5,R.canadum
0.7469017905588712,-6,0,8.62e-5,R.canadum
0.35388429191535536,-10,0,8.62e-5,R.canadum
0.6517931258780009,2,0,8.62e-5,R.canadum
0.8929738215775875,0,0,8.62e-5,R.canadum
0.7685197020428937,-2,0,8.62e-5,R.canadum
0.6562669667763067,-6,0,8.62e-5,R.canadum
0.3130013560335561,-10,0,8.62e-5,R.canadum
0.5021897738383142,2,0,8.62e-5,R.canadum
0.7218762135290924,0,0,8.62e-5,R.canadum
0.6622284830240421,-2,0,8.62e-5,R.canadum
0.5397101204463297,-6,0,8.62e-5,R.canadum
0.24050940775164154,-10,0,8.62e-5,R.canadum
0.408834547329969,2,0,8.62e-5,R.canadum
0.5634369078085142,0,0,8.62e-5,R.canadum
0.5081895209578559,-2,0,8.62e-5,R.canadum
0.42627184699445925,-6,0,8.62e-5,R.canadum
0.21155470954308145,-10,0,8.62e-5,R.canadum
0.2689771519670402,-5.100000000000001,0,8.62e-5,O.mykiss
0.42058990851349587,-5.100000000000001,0,8.62e-5,O.mykiss
0.5127958320283382,-5.100000000000001,0,8.62e-5,O.mykiss
0.5344429096291784,-5.100000000000001,0,8.62e-5,O.mykiss
0.5279214628298263,-5.100000000000001,0,8.62e-5,O.mykiss
0.5556885500486182,-5.100000000000001,0,8.62e-5,O.mykiss
0.3809007566380703,-5.100000000000001,0,8.62e-5,O.mykiss
0.47664687978972253,-5.100000000000001,0,8.62e-5,O.mykiss
0.6619612614649765,-5.100000000000001,0,8.62e-5,O.mykiss
0.6045091534083554,-5.100000000000001,0,8.62e-5,O.mykiss
0.662352793522519,-5.100000000000001,0,8.62e-5,O.mykiss
0.6482883889832064,-5.100000000000001,0,8.62e-5,O.mykiss
0.2889332307923923,-10.100000000000001,0,8.62e-5,O.mykiss
0.3931402973331002,-10.100000000000001,0,8.62e-5,O.mykiss
0.26906257113203286,-10.100000000000001,0,8.62e-5,O.mykiss
0.42479692043036044,-10.100000000000001,0,8.62e-5,O.mykiss
0.30278985110832723,-10.100000000000001,0,8.62e-5,O.mykiss
0.43864510394559186,-10.100000000000001,0,8.62e-5,O.mykiss
0.18025027655858497,-15.100000000000001,0,8.62e-5,O.mykiss
0.2297873077188228,-15.100000000000001,0,8.62e-5,O.mykiss
0.18543899892360977,-15.100000000000001,0,8.62e-5,O.mykiss
0.22584579356591403,-15.100000000000001,0,8.62e-5,O.mykiss
0.18476063044326255,-15.100000000000001,0,8.62e-5,O.mykiss
0.24211506327871268,-15.100000000000001,0,8.62e-5,O.mykiss
0.9989473684210526,0,0,8.62e-5,O.mykiss
0.6809569448231847,0,0,8.62e-5,O.mykiss
0.584250875722823,0,0,8.62e-5,O.mykiss
0.8245950588281301,0,0,8.62e-5,O.mykiss
0.8286188529694698,0,0,8.62e-5,O.mykiss
0.53928188663927,0,0,8.62e-5,O.mykiss
0.50318680435383345,1.8999999999999986,0,8.62e-5,O.mykiss
0.7572187063554566,1.8999999999999986,0,8.62e-5,O.mykiss
0.41300375670310274,1.8999999999999986,0,8.62e-5,O.mykiss
0.7059781417334883,1.8999999999999986,0,8.62e-5,O.mykiss
0.8955854639584088,1.8999999999999986,0,8.62e-5,O.mykiss
0.14122185171466015,4.199999999999999,0,8.62e-5,O.mykiss
0.14528070176786834,4.199999999999999,0,8.62e-5,O.mykiss
0.13177624109595246,4.199999999999999,0,8.62e-5,O.mykiss
0.1223399197096215,4.199999999999999,0,8.62e-5,O.mykiss
0.2768120965405844,4.199999999999999,0,8.62e-5,O.mykiss
0.16525062864532644,-15.100000000000001,0,8.62e-5,O.mykiss
0.20106359173152857,-15.100000000000001,0,8.62e-5,O.mykiss
0.21417172373741358,-15.100000000000001,0,8.62e-5,O.mykiss
0.18432674243858704,-15.100000000000001,0,8.62e-5,O.mykiss
0.4468074920464968,-9.900000000000002,0,8.62e-5,O.mykiss
0.4278525671263061,-9.900000000000002,0,8.62e-5,O.mykiss
0.4538044485606438,-10.100000000000001,0,8.62e-5,O.mykiss
0.4669289456371566,-10.000000000000002,0,8.62e-5,O.mykiss
0.6768384383047625,-0.10000000000000142,0,8.62e-5,O.mykiss
0.7560976035575413,-0.10000000000000142,0,8.62e-5,O.mykiss
0.4978624178996375,-0.10000000000000142,0,8.62e-5,O.mykiss
0.7881507245176287,-0.10000000000000142,0,8.62e-5,O.mykiss
0.5526971551973103,-5.100000000000001,0,8.62e-5,O.mykiss
0.6192756110657023,-5.100000000000001,0,8.62e-5,O.mykiss
0.5077014834163206,-5.100000000000001,0,8.62e-5,O.mykiss
0.6822790285535627,-5.100000000000001,0,8.62e-5,O.mykiss
0.5837585975628931,-6,0,8.62e-5,P.annularis
0.3156628940271366,-6,0,8.62e-5,P.annularis
0.3680140655999984,-6,0,8.62e-5,P.annularis
0.21928544964807853,-6,0,8.62e-5,P.annularis
0.39245243526633194,-6,0,8.62e-5,P.annularis
0.4046458705628695,-6,0,8.62e-5,P.annularis
0.5745919959843077,-6,0,8.62e-5,P.annularis
0.517120898129143,-3,0,8.62e-5,P.annularis
0.38339371932522753,-3,0,8.62e-5,P.annularis
0.6172462398259295,-3,0,8.62e-5,P.annularis
0.09677684059946912,-3,0,8.62e-5,P.annularis
0.46976269181028524,-3,0,8.62e-5,P.annularis
0.740427681173463,-3,0,8.62e-5,P.annularis
0.7733960770262182,-3,0,8.62e-5,P.annularis
